S/n,Organisation Name,Mailing Address,Latitude,Longitude,Phone Number,Fax Number,Email Address
16,Alzheimer's Disease Association,20 BENDEMEER ROAD #01-02 BS BENDEMEER CENTRE Singapore 339914,1.3144299,103.8620717,62939971,62936631,adahq@alz.org.sg
17,American Women's Association of Singapore,15 Scotts Road #03-01 Thong Teck Building Singapore 228218,1.3078412,103.8327229,67344895,67336190,office@awasingapore.org
18,AMKFSC Community Services Ltd,445 ANG MO KIO AVENUE 10 #01-1647 Singapore 560445,1.36701,103.855623,63128100,63883989,contact@amkfsc.org.sg
19,Ang Mo Kio - Thye Hua Kwan Hospital Ltd,17 Ang Mo Kio Avenue 9 Singapore 569766,1.3843023,103.8405729,64506106,64541729,enquiry@amkh.org.sg
20,Aoxiang Counselling Service,480 Lorong 2 Toa Payoh #02-18 c/o Toa Payoh Methodist Church Singapore 319641,1.3339331,103.8464725,62515525,62515525,belinda_yuan@yahoo.com.sg
21,Apex Club Of Singapore (Bukit Timah),119 Bukit Merah View #01-85 Singapore 152119,1.2835678,103.8208789,62725500,62783668,apexbt@apex.org.sg
22,"Apex Club Of Singapore (City), The",119 Bukit Merah View #01-85 Singapore 152119,1.2835678,103.8208789,62725500,62783668,apexsingapore01@gmail.com
23,Apex Day Rehabilitation Centre For Elderly,119 Bukit Merah View #01-85 Singapore 152119,1.2835678,103.8208789,62734510,62760713,
24,Apex Harmony Lodge,10 Pasir Ris Walk Singapore 518240,1.370499,103.9642542,65852265,65852982,ahl@apexharmony.org.sg
25,APSN Education Services Ltd,900 New Upper Changi Road Katong School Singapore 467354,1.3256287,103.9429032,64796252,,admin@apsn.org.sg
26,APSN Ltd.,11 Jalan Ubi #02-12 Kembangan-Chai Chee Community Hub Singapore 409074,1.3171718,103.8999315,64796252,,admin@apsn.org.sg
27,Arc Children's Centre Co Limited,77 Lorong Limau #01-51 Singapore 320077,1.3250142,103.8546356,62524898,,enquiry@arcchildren.org
28,Art Therapists' Association (Singapore),10 Anson Road #27-15 International Plaza Singapore 079903,1.2756998,103.8458098,68586938,,support@atas.org.sg
29,Arts House Ltd,28 ALIWAL STREET #03-07 ALIWAL ARTS CENTRE Singapore 199918,1.3025906,103.8611415,64350228,64447311,ngsoonlee@artshouse.sg
30,ArtsWok Collaborative Limited,90 Goodman Road Blk B #03-07 Goodman Arts Centre Singapore 439053,1.3039732,103.8851812,97472924,,connect@artswok.org
31,ASCENDING HOPE COMMUNITY SERVICES LTD.,37 JALAN PEMIMPIN #07-02 MAPEX Singapore 577177,1.3489314,103.8408764,83397100,,deborah@ascendinghope.org
32,ASIA PHILANTHROPY CIRCLE LTD.,352 TANGLIN ROAD #01-07 TANGLIN INTERNATIONAL CENTRE Singapore 247671,1.2952703,103.8148516,64710107,,office@asiaphilanthropycircle.org
33,Asian Venture Philanthropy Network Limited,171 Tras Street #10-179 Union Building Singapore 079025,1.2746327,103.8439918,65361824,,info@avpn.asia
34,Asian Women's Welfare Association,9 Lorong Napiri Access Building Singapore 547531,1.3723548,103.8785571,65115200,64890775,awwahq@awwa.org.sg
35,Assemblies of God Community Services Society,247 Paya Lebar Road #01-01 Trinity @ Paya Lebar Singapore 409045,1.3311636,103.8890435,68414912,67471170,enquiries@agcss.org.sg
36,Assisi Hospice,832 Thomson Road Singapore 574627,1.3424588,103.8385633,68322650,62535312,assisi@assisihospice.org.sg
37,Association For Early Childhood Educators (Singapore),18 Hougang Ave 3 #01-159 Singapore 530018,1.363201,103.8918795,62814989,62814328,info@aeces.org
38,Association For Persons With Special Needs,900 New Upper Changi Road Singapore 467354,1.3253182,103.9429503,64796252,64796272,hq@apsn.org.sg
39,Association For Psychiatric Rehabilitation (Singapore),139 Potong Pasir Avenue 3 #01-132 Singapore 350139,1.3332643,103.8661493,,,admin@aprs.org.sg
40,Association Of Muslim Professionals,1 Pasir Ris Drive 4 #05-11 Singapore 519457,1.368309,103.959529,64163966,65838028,corporate@amp.org.sg
41,Association of Psychotherapists and Counsellors (Singapore),124 HOUGANG AVENUE 1 #01-1450 Singapore 530124,1.3529153,103.8867247,91188045,,secretariat@apacs.org.sg
42,Association Of Women For Action And Research,5 Dover Crescent #01-22 Singapore 130005,1.3040258,103.7827432,67797137,67770318,aware@aware.org.sg
43,Australian & New Zealand Association (Singapore),47A  Kampong Bahru Road Singapore 169361,1.2767395,103.836163,62237992,66205239,
44,Autism Association (Singapore),101 Bukit Batok West Avenue 3 #01-01 Eden School Singapore 659168,1.351511,103.742986,67746649,67746957,enquiry@autism-association.org.sg
45,Autism Resource Centre (Singapore),5 Ang Mo Kio Ave 10 Singapore 569739,1.359282,103.854654,63233258,63231974,arc@autism.org.sg
46,AWFUL GRACE LTD.,600 North Bridge Road #05-01 Parkview Square Singapore 188788,1.300164,103.8577305,63362828,,awed@awfulgrace.org
47,AWWA LTD.,9 Lorong Napiri Singapore 547531,1.3723548,103.8785571,65115200,64890775,contactus@awwa.org.sg
48,BABES PREGNANCY CRISIS SUPPORT LTD.,26 Jalan Klinik #1-42 Singapore 160026,1.288261,103.8283736,66648591,62724675,hello@babes.org.sg
49,Bartley Community Care Services,8 New Industrial Road #05-01 LHK3 Building Singapore 536200,1.3418575,103.8852895,68850432,63832491,info@bccs.org.sg
50,Beautiful Mind Charity,20 MAXWELL ROAD #09-17 MAXWELL HOUSE Singapore 069113,1.2792508,103.8447681,93960817,63993699,admin@bmcsg.org
51,BEAUTIFUL PEOPLE SG LTD.,1 LORONG 2 TOA PAYOH #07-00 BRADDELL HOUSE Singapore 319637,1.3402155,103.847321,63480480,,contact@beautifulpeople.org.sg
52,Bethel Community Services,114 Aljunied Ave 2 #03-75 Singapore 380114,1.321746,103.886822,67447422,67445859,ed@bethelcs.org.sg
53,Bethesda Care Services,300 Bedok North Ave 3 Singapore 469717,1.331242,103.934759,64451500,64430733,admin@bethesdacare.sg
54,Bethesda Community Assistance And Relationship Enrichment Centre,242 Hougang St 22 #01-93 Singapore 530242,1.3576625,103.8923028,63404161,63830625,admin@bcare.org.sg
55,Bethesda Community Services Society,300 Bedok North Ave 3 Singapore 469717,1.331242,103.934759,64488658,62428050,
56,Beyond Social Services,26 Jalan Klinik #01-42/52 Singapore 160026,1.2881937,103.8283166,63752940,62740633,mail@beyond.org.sg
57,"Bible-Presbyterian Welfare Services, Singapore",156 Serangoon Garden Way Singapore 556055,1.367146,103.8615629,62875466,62843567,daniel@elsiekitchen.com.sg
58,Binjaitree,15 LORONG 29 GEYLANG #08-01 PTH BUILDING Singapore 388069,1.3147598,103.8855925,63392811,63390659,achau@binjaitree.org
59,Bishan Home for the Intellectually Disabled,6 Bishan Street 13 Bishan House Singapore 579798,1.3476352,103.8550497,63533515,63536753,info@bishanhome.org.sg
60,Bizlink Centre Singapore Ltd,512 Chai Chee Lane #01-07/09 Mapletree Industrial Singapore 469028,1.3304401,103.9173898,64495652,64495694,info@bizlink.org.sg
61,Bless Community Services,242 Yio Chu Kang Road Singapore 545671,1.3680115,103.8764376,62889377,,enquiries@bless.org.sg
62,BLESSED GRACE SOCIAL SERVICES LIMITED,16 ARUMUGAM ROAD #04-02B LTC BUILDING D Singapore 409961,1.3253532,103.8915152,86613979,-,shirley.leong@blessedgrace.org
63,BLOSSOM SEEDS LIMITED,105 CANBERRA STREET #02-01 EASTBROOK @ CANBERRA Singapore 750105,1.4499034,103.8329686,98737537,,contact@blossomseeds.sg
64,Blossom World Society,9 Toh Yi Drive #01-321 Singapore 590009,1.3383084,103.7736613,64645116,,contactus@blossomworld.sg
65,Blue Cross Charitable Institution,10 BUANGKOK GREEN PELANGI VILLAGE Singapore 539753,1.3814087,103.8873833,64897642,64898114,bluecros@singnet.com.sg
66,Bo Tien Welfare Services Society,6 Fourth Chin Bee Road Singapore 619708,1.3310683,103.7187464,62626021,62620889,botiensg@singnet.com.sg
67,"Bone Marrow Donor Programme, The",8 Sinaran Drive #03-02 Novena Specialist Center Singapore 307470,1.3203779,103.8448451,69160370,69160371,admin@bmdp.org
68,BOP HUB LTD,541 ORCHARD ROAD #19-03 LIAT TOWER Singapore 238881,1.3051925,103.8305905,62351928,,
69,Boys' Brigade in Singapore,105 Ganges Avenue BB Campus Singapore 169695,1.291351,103.8315889,67370377,67371676,bbhq@bb.org.sg
70,BOYS' TOWN,624 Upper Bukit Timah Road Singapore 678212,1.3697375,103.7674096,66905420,67627846,info@boystown.org.sg
71,Brahm Centre Ltd,473 TAMPINES STREET 43 #01-94 NIL Singapore 520473,1.3594711,103.9531185,69082122,,info@brahmcentre.com
72,Brain Tumour Society (Singapore) Limited,10 RAEBURN PARK #02-08 NIL Singapore 088702,1.273428,103.8332317,87385669,,admin@braintumoursociety.org.sg
73,Breadline Group,303 Shunfu Road #03-57 Singapore 570303,1.3498991,103.8382496,62584686,,info@breadlinegroup.org
74,Breakthrough Missions Ltd,24 Yew Siang Road Singapore 117758,1.278331,103.792557,64797734,64732970,account@breakthroughmissions.org.sg
75,Breast Cancer Foundation,5 Stadium Walk #04-03/08 Kallang Leisure Park Singapore 397693,1.3022162,103.8765213,63526560,63525808,enquiries@bcf.org.sg
76,Breastfeeding Mothers' Support Group (Singapore),96 Waterloo Street #02-04 SCWO Centre Singapore 187967,1.2994509,103.8517657,63393558,,contact@breastfeeding.org.sg
77,Bright Hill Evergreen Home,100 Punggol Field Singapore 828811,1.3920721,103.9153507,64593492,64522507,admin1@bheh.org
78,Bright Vision Hospital,5 Lorong Napiri Bright Vision Hospital Singapore 547530,1.3720491,103.8780311,62485755,68813872,enquiries@bvh.org.sg
79,Brighton Connection,1 Ubi Crescent #03-03 Singapore 408563,1.325562,103.8938674,68484940,68484972,enquires@brightonconnection.org.sg
80,"British Association of Singapore, The",19 Tanglin Road #03-61 Tanglin Shopping Centre Singapore 247909,1.3063651,103.8266182,63398229,63391167,info@britishassociation.org.sg
81,Buddha Of Medicine Welfare Society,11 Lorong 25 Geylang Singapore 388293,1.3141437,103.882453,67419969,67419939,admin@bmws.org.sg
82,Buddhist Compassion Relief Tzu-Chi Foundation (Singapore),9 Elias Road Singapore 519937,1.3726246,103.9393244,65829958,65829952,info@tzuchi.org.sg
83,"Buddhist Union, The",28 Jalan Senyum Singapore 418152,1.3217904,103.9147134,64435959,64443280,enquiries@thebuddhistunion.org
84,Calvary Community Care,147 POTONG PASIR AVENUE 1 #02-83 Singapore 350147,1.3319134,103.868111,62811866,62811867,care@calvary.sg
85,CampusImpact,151 Yishun Street 11 #01-26 Singapore 760151,1.4308782,103.8341906,64821324,64827324,enquiries@campusimpact.org.sg
86,CANOSSA MISSION SINGAPORE,100 Jalan Merbok Canossian Mission Singapore 598454,1.3453359,103.7649879,64674290,,canprov@canossaspore.org.sg
87,Care Community Services Society,103 Lavender Street #01-02 CarePoint Singapore 338725,1.311459,103.86199,69507500,,ccss@ccsscares.sg
88,Care Corner Seniors Services Ltd,62B Lorong 4 Toa Payoh #02-121 Golden Lotus Singapore 312062,1.3359099,103.851286,62586601,,ccss.general@carecorner.org.sg
89,Care Corner Singapore Ltd,6 WOODLANDS SQUARE #03-01 WOODS SQUARE TWR 2 Singapore 737737,1.4347621,103.7857558,6250 6813,,ccs@carecorner.org.sg
90,Care For The Elderly Foundation (Singapore),122B JOO CHIAT ROAD Singapore 427411,1.3138086,103.8991587,67416772,63421870,enquiry@cef.org.sg
91,Caregivers Alliance Limited,491B River Valley Road #04-04 Valley Point Office Tower Singapore 248373,1.2929026,103.8266324,64604400,-,general@cal.org.sg
92,Caregivers' Association of the Mentally-ill (CAMI),84  Riverina Crescent Singapore 518313,1.3803069,103.9469324,67829371,,contact@cami.org.sg
93,Caregiving Welfare Association,3 Ghim Moh Road #01-294 Singapore 270003,1.3120051,103.7871005,64667957,64665927,contact@cwa.org.sg
94,Caring Fleet Services Limited,211 Hougang St 21 #01-309 (2nd level) Singapore 530211,1.3598611,103.8878231,62818118,62822182,enquiry@caringfleet.com
95,Caritas Humanitarian Aid & Relief Initiatives (Singapore) Ltd.,55 WATERLOO STREET #07-02 CATHOLIC CENTRE Singapore 187954,1.2983144,103.8514777,63374119,,hr@charis-singapore.org
96,Caritas Singapore Community Council Limited,55 Waterloo Street #08-01 Catholic Centre Singapore 187954,1.2983144,103.8514777,63383448,63377101,info@caritas-singapore.org
97,Casa Raudha Ltd,1 Pasir Ris Drive 4 #05-11 Singapore 519457,1.368309,103.959529,68981316,68981376,enquiry@casaraudha.org
98,Casa Raudha Women Home,96 Waterloo St Singapore 187967,1.2995837,103.8516718,68981316,68981376,enquiry@casaraudha.org
99,Catholic Aids Response Effort,9 Mandai Road Singapore 779387,1.4026503,103.8159049,63535440,62554885,administrator@care.org.sg
100,Catholic Family Life Limited,2 HIGHLAND ROAD #01-03 CATHOLIC ARCHDIOSESAN EDUCATION CENTRE Singapore 549102,1.3558585,103.8770525,64880278,62855311,cfl@familylife.sg
101,"Catholic Welfare Services, Singapore",55 Waterloo Street #06-01 Catholic Centre Singapore 187954,1.2983144,103.8514777,63377954,63361513,generalenquiries@catholicwelfare.org.sg
102,Centre For Fathering Limited,1 WOODLANDS ROAD #04-03 The Tennery Singapore 677899,1.3798647,103.7606506,67691238,67691232,cff@fathers.com.sg
103,Centre for Seniors,9 Bishan Place #10-02 Junction 8 Office Tower Singapore 579837,1.3506808,103.8487631,64785015,,admin@cfs.org.sg
104,Centre Of Activity and Recreation For The Elders (CARE),531 Upper Cross Street #04-40A Hong Lim Complex Singapore 050531,1.2846815,103.8457938,65331010,65353596,
105,Cerebral Palsy Alliance Singapore,65 Pasir Ris Drive 1 Cerebral Palsy Centre Singapore 519529,1.3755847,103.9397982,65855601,65855603,hqadmin@cpas.org.sg
106,CHANGE COMMUNITY SERVICES LIMITED,165 UPPER EAST COAST ROAD Singapore 455266,1.3145718,103.9322769,61002352,64440544,info@changecs.sg
107,Charis Centre,11 Woodlands Close #03-41 Woodlands 11 Singapore 737853,1.4343653,103.8024411,83238200,,joehsy82@chariscentre.org.sg
108,CHARTERED SECRETARIES INSTITUTE OF SINGAPORE,149 Rochor Road #04-05 Fu Lu Shou Complex Singapore 188425,1.3016228,103.8544321,63344302,63344669,
109,Chen Su Lan Methodist Children's Home,202 Serangoon Garden Way Singapore 556057,1.3688037,103.8619812,67139150,67139155,info@cslmch.org.sg
110,Chen Su Lan Trust,180 Paya Lebar Road #10-01 Yi Guang Factory Building Singapore 409032,1.3308901,103.8900219,65933535,,cath@cntiew.com.sg
111,Cheng Hong Welfare Service Society,12 Eunos Crescent #01-2767 Singapore 400012,1.3222795,103.9043743,67482948,68445969,sheena.lee@chenghongwelfare.org
112,Child At Street 11 Ltd,102 Ang Mo Kio Ave 3 #01-1429 Singapore 560102,1.3706163,103.8392427,64553681,64553682,child@street11.org.sg
113,Children-At-Risk Empowerment Association (CARE Singapore),428 Pasir Ris Drive 6 #01-21 Singapore 510428,1.3694101,103.9565028,65833481,65817739,care@care.sg
114,Children's Aid Society,503 Clementi Road Singapore 599488,1.330658,103.7769836,64665758,64620729,cashome@singnet.com.sg
115,Children's Cancer Foundation,535 KALLANG BAHRU #02-01 GB POINT Singapore 339351,1.3213045,103.870768,62293701,62293700,ccfadmin@ccf.org.sg
116,"Children's Charities Association Of Singapore, The",18 Holland Drive #01-01 Singapore 271018,1.3115706,103.7920521,67732561,67732596,admin@childrenscharities.org.sg
117,CHILDREN'S WISHING WELL,365 Clementi Ave 2 #01-503 Singapore 120365,1.3122881,103.7699671,67770041,,admin@wishingwell.org.sg
118,Chinese Counselling Society (Singapore),41 KALLANG PUDDING ROAD #06-06 GOLDEN WHEEL BUILDING Singapore 349316,1.3294546,103.878741,96669138,,kedyccy@singnet.com.sg
119,CHINESE DEVELOPMENT ASSISTANCE COUNCIL,65 Tanjong Katong Road CDAC Building Singapore 436957,1.313525,103.8946983,66035505,68414882,feedback@cdac.org.sg
120,Chinese Women's Association,28 Gilstead Road #03-02 Singapore 309072,1.3170383,103.8392653,62532912,65249986,info@cwa-sg.org
121,Chong Hua Tong Tou Teck Hwee,3 Tampines Avenue Singapore 529784,1.3670494,103.9279444,67878083,67878398,kokwai.ng@gmail.com
122,Christian Outreach To The Handicapped,414 Tampines Street 41 #01-301 Singapore 520414,1.3598054,103.946259,67873200,67876990,admin@coh.org.sg
123,City Harvest Community Services Association,12 Pine Close #01-85 Singapore 391012,1.3085807,103.8822768,68359916,68359915,info@chcsa.org.sg
124,Civilians Association (Singapore),"19B Hillview Avenue, #04-03 Hillview Park, Sinagapore 669555",1.364657,103.7654608,,,
125,Clarity Singapore Limited,854 Yishun Ring Road #01-3511 Singapore 760854,1.4163749,103.8374747,67577990,,ask@clarity-singapore.org
126,Club HEAL,244 Bukit Batok East Ave 5 #01-02 Singapore 650244,1.3491241,103.7570247,68993463,,info@clubheal.org.sg
127,Club Rainbow (Singapore),538 Upper Cross Street #05-263 Singapore 050538,1.285205,103.845761,63771789,62718189,contact@clubrainbow.org
128,Coalition Against Bullying for Children and Youth (CABCY),10 Anson Road #27-04 International Plaza Singapore 079903,1.2756998,103.8458098,62233122,62234118,jaslin@cabcy.org.sg
129,COMPASSION FUND LTD.,11 LENG KEE ROAD Singapore 159091,1.2903171,103.8136111,62650291,62650271,manager@compassionfund.sg
130,Concern & Care Society,228 Bukit Batok Central #01-45 Singapore 650228,1.348675,103.753633,65605455,65605456,ccs@concernandcare.org.sg
131,CONJUNCT CONSULTING (SINGAPORE) LIMITED,2 ORCHARD LINK #04-01 SCAPE Singapore 237978,1.3010294,103.8357316,90923638,,info@conjunctconsulting.org
132,Cornerstone Community Services,11 East Coast Road #01-08 The Odeon Katong Singapore 428722,1.3049989,103.9016889,63448063,,info@cornerstoneservices.org.sg
133,Council for Third Age,9 Bishan Place #10-01 Junction 8 Office Tower Singapore 579837,1.3506808,103.8487631,63580333,62587603,c3a@c3a.org.sg
134,Counselling and Care Centre,536 Upper Cross Street #05-241 Hong Lim Complex Singapore 050536,1.2856452,103.8442608,65366366,65366356,info@counsel.org.sg
135,CREDIT COUNSELLING SINGAPORE,51 Cuppage Road #07-06 Singapore 229469,1.3028594,103.8401706,62255227,,enquiry@ccs.org.sg
136,Crime Library (Singapore),108C Mcnair Road #02-220 Singapore 324108,1.3199055,103.8594434,62935250,62967434,editor@crimelibrary.com.sg
137,CROHN'S & COLITIS SOCIETY OF SINGAPORE,237 Arcadia Road #04-06 The Arcadia Block B Singapore 289844,1.3336706,103.8108861,97564066,,info@ibd.org.sg
138,Cycling Without Age Singapore Ltd.,60A ORCHARD ROAD #4M-01 The Atrium@Orchard Tower 1 Singapore 238890,1.2995949,103.8458175,93821060,,info@cyclingwithoutage.sg
139,DAS ACADEMY LTD.,73 Bukit Timah Road #05-01 Rex House Singapore 229832,1.30677,103.847844,63362555,66439643,info@dasacademy.edu.sg
140,Daughters Of Tomorrow Limited,84 GENTING LANE #06-01 AXXEL INNOVATION CENTRE Singapore 349584,1.32457,103.8773159,82331961,,fannie@daughtersoftomorrow.org
141,Deaf and Hard-of-Hearing Federation (Singapore),23 Telok Blangah Crescent #01-40 Enable Centre Singapore Singapore 090023,1.2755658,103.8206426,87199035,,admin@dhhfs.org.sg
142,Deaf Sports Association (Singapore),27 Woodlands Industrial Park E1 #01-06 Hiangkie Industrial Building Singapore 757718,1.4551651,103.7981315,97400250,,info@dsa.org.sg
143,Diabetes Singapore,528 Jurong West St 52 #01-353 Singapore 640528,1.3483286,103.7170188,65649818,65649861,
144,Disabled People's Association,1 Jurong West Central 2 #04-01 Jurong Point Shopping Centre Singapore 648886,1.3397443,103.7067297,67911134,67911284,info@dpa.org.sg
145,Domestic Employees Welfare Fund,1 MARINA BOULEVARD #10-01 NTUC Singapore 018989,1.2823043,103.8525645,1800 2255 233,,contact@cde.org.sg
146,Dover Park Hospice,10 Jalan Tan Tock Seng Singapore 308436,1.320539,103.8491279,65007272,62547650,info@doverpark.org.sg
147,Down Syndrome Association (Singapore),9 Bishan Place #09-01 Junction 8 Office Tower Singapore 579837,1.3505054,103.8486958,65009321,62550337,admin@downsyndrome-singapore.org
148,Dyslexia Association Of Singapore,1 Jurong West Central 2 #05-01 Jurong Point Singapore 648886,1.3399257,103.7062886,64445700,64447900,info@das.org.sg
149,Eagles Mediation & Counselling Centre Ltd,331 NORTH BRIDGE ROAD #22-01/06 ODEAN TOWERS Singapore 188720,1.2962604,103.8530399,6788 8220,,reachus@emcc.org.sg
150,EMCC,331 NORTH BRIDGE ROAD #22-01/06 ODEON TOWERS Singapore 188720,1.2962604,103.8530399,67888220,,reachus@emcc.org.sg
151,EMPOWER AGEING LIMITED,625 Aljunied Road #04-09A Aljunied Industrial Complex Singapore 389836,1.3252005,103.8789142,68419136,,contact@empower.org.sg
152,EN Community Services Society,2 Kallang Avenue #06-14 CT HUB Singapore 339407,1.3123049,103.8630306,67886625,,encom@ecss.org.sg
153,Engineering Good Ltd,"111 Somerset Road, #12-05 Tripleone Somerset Singapore 238164",1.3001685,103.8372952,651577769,67357444,contactus@engineeringgood.org
154,Epilepsy Care Group (Singapore),3779 JALAN BUKIT MERAH #02-03 BUKIT MERAH COMMUNITY HUB Singapore 159462,1.2844073,103.8157049,63580566,,ecgs93@singnet.com.sg
155,Epworth Community Services,106 Bukit Batok Central #01-217 Singapore 650106,1.3481875,103.7469673,65622211,65698038,christianteo@epworth.sg
156,EQUAL-ARK SINGAPORE LTD.,100 Jalan Mashhor Singapore 299177,1.3352059,103.8330834,69040422,,info@equal.org.sg
157,Equestrian Federation of Singapore (E.F.S),100 Jalan Mashhor Singapore 299177,1.3352059,103.8330834,97538739,,jennifer.tan.efs@gmail.com
158,"Eurasian Association, The",139 Ceylon Road Eurasian Community House Singapore 429744,1.3100807,103.8994086,64471578,64473189,secretariat@eurasians.org
159,EXTRAORDINARY PEOPLE LIMITED,7500A BEACH ROAD #01-313 THE PLAZA Singapore 199591,1.299206,103.8604874,62865088,,weexiaoling@extraordinarypeople.sg
160,FaithActs,50 Commonwealth Drive #01-506 Singapore 142050,1.3011635,103.797097,63397611,,info@faithacts.org.sg
161,Family Life Society,2 Highland Road #LG-01 CAEC Building Singapore 549102,1.3558585,103.8770525,64880278,62855311,fls@familylife.sg
162,"Federation Of Youth Clubs, Singapore",5001 Beach Road #08-62 Golden Mile Complex Singapore 199588,1.3027902,103.8653797,96834905,,bernard41@live.com
163,Fei Yue Community Services,604 Choa Chu Kang St 62 #01-53 Singapore 680604,1.3981521,103.7448918,65631106,64162182,admin@fycs.org
164,Fei Yue Family Service Centre,185 Bukit Batok West Avenue 6 #01-187 Singapore 650185,1.347051,103.7449625,64162162,64162182,admin@fycs.org
165,Filos Community Services Ltd,38 Chai Chee Avenue #01-177 Singapore 461038,1.325945,103.926027,62425978,62426039,info@filos.sg
166,Focus on The Family Singapore Limited,9 Bishan Place #08-03 Junction 8 Office Tower Singapore 579837,1.349798,103.8495102,63361444,64910707,focus@family.org.sg
167,Foo Hai Buddhist Cultural and Welfare Association,87 Geylang East Ave 2 Foo Hai Ch'an Monastery Singapore 389753,1.3179102,103.8883998,67486676,67492343,sujenny@foohai.org
168,Food from the Heart,130 Joo Seng Road #03-01 (Formerly Olivine Building) Singapore 368357,1.3375176,103.8829543,62804483,62804498,info@foodheart.org
169,Foreign Domestic Worker Association for Social Support and Training (FAST),3 CHIN CHENG AVENUE Singapore 429401,1.3172951,103.9067373,65091535,65091536,contact@fast.org.sg
170,Foundation Of Rotary Clubs (Singapore) Ltd,111 NORTH BRIDGE ROAD #06-33 PENINSULA PLAZA Singapore 179098,1.2923407,103.8508826,6256 1983,,enquiry@rotaryfsc.org
171,Franciscan Missionaries Of Mary,49D Holland Road Maris Stella Convent Singapore 258852,1.3080638,103.8078121,64742422,64725895,fmm.ecpl@catholic.org.sg
172,Friends of the Disabled Society,75 Whampoa Drive #01-374 Whampoa Court Singapore 320075,1.3244305,103.8582094,62511203,62511053,contact@fds.org.sg
173,Friends-In-Deed Counselling Society,4 Greenwood Place Singapore 289129,1.3330368,103.805729,66181231,,fidcounselling@gmail.com
174,FU HUI BUDDHIST CULTURAL CENTRE,105 Punggol Road Fu Hui Singapore 546636,1.3800984,103.8962225,63877227,63877887,kuan.yan@sbws.org.sg
175,GEM NEW START CENTRE LIMITED,2 Springleaf View Singapore 787908,1.3973915,103.8200824,62663302,62660021,admin@gemnsc.com
176,Gerontological Society,89 Short Street #08-08 Golden Wall Centre Singapore 188216,1.3039302,103.8512903,63344445,63387153,shirley@gs.org.sg
177,Geylang East Home For The Aged,97 Aljunied Crescent #01-439 Singapore 380097,1.3212574,103.8856755,67457880,67417948,limyin@geha.org.sg
178,Girl Guides Singapore,9 Bishan St 14 Guide House Singapore 579785,1.353511,103.8506783,62599391,62595452,hr@girlguides.org.sg
179,"Girls' Brigade, Singapore, The",795 Upper Serangoon Road Singapore 534667,1.3558632,103.8801211,62886284,62886735,gbhq@gb.org.sg
180,Global Compact Network Singapore,160 Robinson Road #06-01 SBF Center Singapore 068914,1.2781678,103.8478429,63869330,,info@unglobalcompact.sg
181,GLOBAL INSTITUTE OF SOCIAL WORK LIMITED,5B MUSWELL HILL MOSELLA Singapore 358431,1.3444684,103.8621483,62481605,,chair@thegisw.org
182,Glory Centre Community Services Association,540 Hougang Ave 8 #01-1231 Singapore 530540,1.3764693,103.8901578,63863039,63860213,glorycentre.csa@gmail.com
183,Golden Years Fellowship,831 Hougang Central #01-502 Singapore 530831,1.3714884,103.8900672,63862273,64877468,
